severity,ppt,tmax,vpdmax,fuel_model,vegetation_type,canopy_cover,slope_deg,aspect_deg,elevation_m,treated,fire,x,y,fuel_model_group,vegetation_type_group
-16,6.5207996,32.7936,43.1049,165,7031,35,3,266,1428,1,Antelope_2021,-121.82294466773448,41.634563890548456,Timber-Understory,Tree
-1146,7.2411,32.950397,43.184998,93,7965,0,0,-1,1371,1,Antelope_2021,-121.83268484340107,41.66038806144699,Non-Burnable,Agriculture
26,7.2411,32.950397,43.184998,122,7017,15,3,270,1370,0,Antelope_2021,-121.8424321875704,41.6862121955436,Grass-Shrub,Tree
82,7.9195,32.8374,42.448498,142,7062,35,4,110,1390,0,Antelope_2021,-121.85218670795376,41.712036298150764,Shrub,Tree
-209,7.9055,32.575397,41.3745,102,9828,0,1,-1,1324,0,Antelope_2021,-121.86194841227329,41.73786037458738,Grass,Herb
-1220,7.9055,32.575397,41.3745,102,9828,0,1,-1,1333,0,Antelope_2021,-121.87171730826178,41.763684430178834,Grass,Herb
-31,8.962299,31.4431,38.7527,122,7017,25,7,149,1641,0,Antelope_2021,-121.88149340366294,41.7895084702571,Grass-Shrub,Tree
-97,8.5709,32.0906,40.0486,122,7084,0,9,51,1627,0,Antelope_2021,-121.89127670623121,41.81533250016091,Grass-Shrub,Shrub
-87,9.2077,32.114,39.632,122,7105,0,13,347,1326,0,Antelope_2021,-121.90106722373187,41.84115652523528,Grass-Shrub,Shrub
1,3.5033998,32.9298,43.7294,165,7172,0,1,-1,1445,0,Antelope_2021,-121.71042525446512,41.435136306146035,Timber-Understory,Tree
71,3.5145,32.6307,43.350597,122,7027,45,2,-1,1472,0,Antelope_2021,-121.7200965557713,41.460963772277886,Grass-Shrub,Tree
-21,3.659,30.815699,39.0206,189,7027,0,5,168,1609,0,Antelope_2021,-121.72977495705852,41.486791163023376,Timber Litter,Tree
-11,3.659,30.815699,39.0206,189,7027,45,1,-1,1710,0,Antelope_2021,-121.7394604659471,41.51261848364978,Timber Litter,Tree
-11,4.8359,28.7381,34.0522,122,7032,45,18,148,2103,0,Antelope_2021,-121.74915309006796,41.5384457394308,Grass-Shrub,Tree
390,5.9280996,30.439499,37.8396,165,7028,45,4,343,1841,0,Antelope_2021,-121.75885283706265,41.564272935646436,Timber-Understory,Tree
986,5.9280996,30.439499,37.8396,182,7058,55,3,45,1709,0,Antelope_2021,-121.76855971458347,41.590100077583,Timber Litter,Tree
19,6.804,32.149498,42.037098,165,7027,45,9,0,1686,0,Antelope_2021,-121.77827373029317,41.61592717053351,Timber-Understory,Tree
-158,6.804,32.149498,42.037098,122,7126,0,4,215,1540,1,Antelope_2021,-121.78799489186535,41.64175421979703,Grass-Shrub,Shrub
5,7.7950997,31.9651,41.2782,165,7031,35,10,191,1639,0,Antelope_2021,-121.79772320698424,41.667581230679296,Timber-Understory,Tree
199,8.1147995,32.7472,42.5765,122,7017,0,1,-1,1366,0,Antelope_2021,-121.8074586833448,41.693408208492485,Grass-Shrub,Tree
-239,7.9195,32.8374,42.448498,145,7080,0,1,-1,1343,0,Antelope_2021,-121.8172013286527,41.71923515855532,Shrub,Shrub
32,7.8677998,32.746597,41.9128,93,7965,0,0,-1,1337,0,Antelope_2021,-121.82695115062438,41.7450620861929,Non-Burnable,Agriculture
-4412,8.1712,32.114998,40.5294,102,7967,0,1,-1,1343,0,Antelope_2021,-121.83670815698706,41.770888996736986,Grass,Herb
-111,8.1712,32.114998,40.5294,122,7017,25,9,279,1742,0,Antelope_2021,-121.84647235547868,41.79671589552586,Grass-Shrub,Tree
-129,8.5709,32.0906,40.0486,142,7124,0,3,45,1467,0,Antelope_2021,-121.85624375384813,41.82254278790437,Shrub,Shrub
-665,8.5709,32.0906,40.0486,122,7123,0,2,-1,1331,0,Antelope_2021,-121.8660223598549,41.84836967922415,Grass-Shrub,Herb
28,3.6201,32.6983,43.6317,161,7173,25,1,-1,1405,0,Antelope_2021,-121.67556300988649,41.44229462533625,Timber-Understory,Tree
-67,3.6201,32.6983,43.6317,162,7098,65,4,189,1495,0,Antelope_2021,-121.68522250092084,41.4681248991402,Timber-Understory,Shrub
59,3.7536,31.2162,40.292,165,7173,45,3,163,1586,0,Antelope_2021,-121.69488908470963,41.49395510123861,Timber-Understory,Tree
29,3.7536,31.2162,40.292,182,7058,55,3,131,1712,0,Antelope_2021,-121.7045627688675,41.51978523690488,Timber Litter,Tree
56,4.3693,29.671,36.1263,99,9213,0,2,-1,1793,0,Antelope_2021,-121.71424356101981,41.54561531141893,Non-Burnable,Sparse
274,5.4244,29.418098,35.1816,184,7032,65,8,76,2011,0,Antelope_2021,-121.72393146880245,41.57144533006688,Timber Litter,Tree
1007,5.9280996,30.439499,37.8396,165,7172,45,1,-1,1716,0,Antelope_2021,-121.733626499862,41.59727529814122,Timber-Understory,Tree
936,7.2035,31.834398,41.5197,165,7031,65,13,287,1646,0,Antelope_2021,-121.74332866185566,41.62310522094109,Timber-Understory,Tree
37,7.6331,32.626698,42.994297,165,7031,45,3,331,1532,0,Antelope_2021,-121.7530379624513,41.64893510377184,Timber-Understory,Tree
-4,7.6331,32.626698,42.994297,189,7027,45,7,76,1494,0,Antelope_2021,-121.76275440932754,41.674764951945455,Timber Litter,Tree
-313,8.1147995,32.7472,42.5765,161,7173,25,23,227,1757,0,Antelope_2021,-121.77247801017364,41.700594770780235,Timber-Understory,Tree
-33,8.1147995,32.7472,42.5765,122,7017,25,1,-1,1401,0,Antelope_2021,-121.78220877268964,41.72642456560121,Grass-Shrub,Tree
191,7.8072996,32.7677,42.210197,102,7967,0,1,-1,1337,0,Antelope_2021,-121.79194670458631,41.75225434173976,Grass,Herb
-906,7.8703,32.4421,41.480698,145,7080,0,2,-1,1349,1,Antelope_2021,-121.80169181358515,41.778084104533974,Shrub,Shrub
-83,7.8703,32.4421,41.480698,142,7125,0,3,135,1403,0,Antelope_2021,-121.81144410741852,41.80391385932837,Shrub,Shrub
31,8.0234995,32.0069,40.2961,145,7080,0,6,223,1459,0,Antelope_2021,-121.82120359382947,41.829743611474136,Shrub,Shrub
-95,9.7253,30.9998,37.2794,122,7126,0,4,113,1537,0,Antelope_2021,-121.83097028057195,41.85557336632922,Grass-Shrub,Shrub
145,3.6158998,32.5821,43.691998,99,9213,0,1,-1,1457,0,Antelope_2021,-121.64069368015933,41.449443517744854,Non-Burnable,Sparse
48,3.6201,32.6983,43.6317,165,7027,55,20,323,1591,0,Antelope_2021,-121.65034135331773,41.47527659654364,Timber-Understory,Tree
